ID_2	X	Y	elevacion	twi	arcilla	pH	COS
125	454257.61	6632301.93	119	126	16.3	7.1	6.59
126	463017.16	6617130.56	85	135	27.7	7.3	17.41
127	459804.01	6596920.25	109	132	17.3	7	10.8
128	459951.17	6581355.85	120	135	23.8	7.5	17.26
129	462475.69	6557023.01	165	131	23.3	7.2	14.54
130	456426.16	6528027.06	222	125	26.4	6.6	18.7
132	462239.48	6500270.7	228	124	24	7.5	10.13
133	457980.52	6478448.42	240	124	23.3	6.8	13.25
134	460337.21	6457270.37	235	125	18.9	7.4	9.84
135	460414.96	6437318.15	244	125	12.8	7.4	10.43
136	459339.54	6416019.79	229	126	19.5	7.2	8.28
137	457447.09	6401522.79	225	125	20.2	6.9	12.19
138	460815.29	6380175.87	191	125	14.9	7.2	13.89
139	465851.56	6355546.78	170	128	12.9	8.2	10.53
140	464229.43	6338212.38	158	125	17.1	6.7	11.38
141	450952.97	6311663.16	186	125	20.4	5.59	13.64
142	465263.67	6296646.01	146	127	12.9	5.69	13.38
143	460321.84	6275948.22	148	125	9.2	5.45	11.26
144	456056.18	6258558.29	136	128	10.8	5.37	10.41
145	459850.71	6238129.3	137	129	12	6.8	9.01
146	460984.57	6218295.14	146	129	15.9	6.2	12.09
147	460561.64	6198267.71	143	128	17.2	6.3	13.53
148	456152.09	6175430.28	138	127	18.3	6.9	11.63
149	459156.5	6159880.09	137	128	17.6	6.1	11.67
150	448405.03	6145930.74	113	124	23.6	7.7	18.89
151	429559.32	6713097.28	629	101	19.1	7.6	22.07
152	431144.15	6693667.17	370	107	31.5	6.8	12.78
153	441061.88	6675046.78	231	122	25	6.9	12.8
154	433488.84	6656235.7	276	118	26.5	6.7	15.23
155	430584.39	6631844.69	262	121	25.1	6.8	13.54
156	439114.39	6616771.45	189	123	22.5	7.2	17.06
157	439227.16	6596823.36	186	128	27.6	6.6	13.12
158	444384.32	6572176.24	195	129	24.9	6.7	13.73
159	439454.51	6556925.52	221	126	28.8	6.7	12.72
160	439488.01	6534812.88	227	127	25.3	7	15.38
161	442482.7	6521238.9	254	127	25.1	7.4	14.37
162	437738.53	6502293.25	286	125	23.2	7.2	13.27
163	437197.36	6476251.34	280	124	23.2	6.6	14.8
164	440689.25	6459393.96	279	123	23.5	7	10.4
165	440150.88	6437218.73	284	121	13	6.8	12.62
166	436267.75	6422024.45	281	124	21.1	6.6	17.44
167	443077.86	6398613.19	241	124	17.5	6.8	17.74
168	435863.85	6379223.07	241	123	14.4	6.35	9.28
169	446602.99	6357883.3	209	124	5.2	6.03	8.1
170	442929	6343521.97	215	122	10.9	5.71	10.21
